Description	Group
"Galerina marginata, Psilocybe catchall, Flammulina, etc"	"['Galerina marginata', 'Galerina marginata group',  'Kuehneromyces mutabilis',   'Kuehneromyces lignicola',   'Kuehneromyces marginellus', 'Psilocybe cyanescens', 'Psilocybe azurescens', 'Psilocybe allenii', 'Psilocybe stuntzii', 'Psilocybe ovoideocystidiata', 'Psilocybe zapotecorum', 'Psilocybe caerulescens', 'Psilocybe cubensis', ''Psilocybe caerulipes', 'Psilocybe semilanceata', 'Psilocybe pelliculosa', 'Flammulina velutipes', 'Deconica coprophila', 'Protostropharia semiglobata']"
reishi	"['Ganoderma lucidum',   'Ganoderma tsugae',    'Ganoderma oregonense',   'Ganoderma curtisii',   'Ganoderma resinaceum', 'Ganoderma resinaceum group',   'Ganoderma sessile',   'Ganoderma polychromum']"
weird white ganoderma	['Ganoderma megaloma']
huge brown conk	['Ganoderma brownii']
artist's conk	"['Ganoderma applanatum',   'Ganoderma subgenus Elfvingia',   'Ganoderma australe']"
chunky red woodrotter	"['Gymnopilus luteofolius', 'Gymnopilus thiersii', 'Gymnopilus aeruginosus','Tricholomopsis rutilans']"
common tan LBM gymnopilus	"['Rhodocollybia butyracea', 'Gymnopus dryophilus']"
"Rustgills, laughing caps"	"['Gymnopilus ventricosus', 'Gymnopilus junonius', 'Gymnopilus luteus',' Gymnopilus liquiritiae', 'Gymnopilus penetrans', 'Gymnopilus sapineus', 'Gymnopilus sapineus group']"
common grey-brown LBM gymnopilus	"['Gymnopus dichrous', 'Gymnopus subnudus']"
Spotted toughshank	['Rhodocollybia maculata']
lion's mane	['Hericium erinaceus']
"bear's head, coral tooth fugus"	"['Hericium abietis',    'Hericium coralloides',    'Hericium americanum']"
elfin saddle and similar	"['Helvella lacunosa', 'Helvella lacunosa group',  'Helvella vespertina',   'Helvella dryophila']"
white elfin saddle	['Helvella crispa']
tan elfin saddle	['Helvella maculata']
vinegar cup	"['Helvella acetabulum', 'Helvella solitaria']"
fortune cookie saddle	"['Helvella compressa', 'Helvella elastica']"
classic pointy waxycaps	"['Hygrocybe singeri',   'Hygrocybe conica',   'Hygrocybe subsect. Hygrocybe',   'Hygrocybe acutoconica']"
fat red waxycaps	"['Hygrocybe punicea',   'Hygrocybe coccinea',    'Hygrocybe miniata',   'Hygrocybe cantharellus']"
golden waxcaps	"['Hygrocybe flavescens', 'Hygrocybe chlorophana']"
sulfur/brick tufts	"['Hypholoma fasciculare', 'Hypholoma capnoides', 'Hypholoma lateritium']"
random hypholoma	['Hypholoma dispersum']
hedgehog mushroom	"['Hydnum umbilicatum', 'Hydnum repandum']"
white inocybe	"['Inocybe geophylla', 'Inocybe geophylla group']"
lilac inocybe and mycena	"['Inocybe lilacina', 'Inocybe lilacina group', 'Mycena pura']"
fuzzy brown inocybe	['Inocybe calamistrata']
brownish inocybe	"[ 'Inocybe sororia', 'Inocybe rimosa', 'Inocybe rimosa group', 'Inocybe sororia group']"
fat purple laccaria	['Laccaria ochropurpurea']
skinny purple laccaria	"['Laccaria amethysteo-occidentalis',   'Laccaria amethystina']"
deceiver LBM	"['Laccaria laccata', 'Laccaria laccata group', 'Laccaria bicolor', 'Laccaria proxima']"
Saffron/gold milk-cap catch all	"['Lactarius rubrilacteus',   'Lactarius deliciosus',   'Lactarius sect. Deliciosi', 'Lactarius alnicola',  'Lactarius deterrimus', 'Lactarius vinaceorufescens','Lactarius xanthogalactus', 'Lactarius chrysorrheus', 'Paxillus involutus']"
candy cap	"['Lactarius rubidus', 'Lactarius rufulus']"
indigo milkcap	['Lactarius indigo']
chicken of the woods	"['Laetiporus conifericola',   'Laetiporus gilbertsonii',   'Laetiporus sulphureus',   'Laetiporus cincinnatus']"
yellow slime molds	"['Leocarpus fragilis', 'Fuligo septica', 'Physarum polycephalum']"
stinking parasol	"['Lepiota cristata',    'Leucoagaricus rubrotinctus', 'Leucoagaricus rubrotinctus group',   'Lepiota rubrotinctoides',    'Leucoagaricus sect. Rubrotincti']"
shaggy stinky parasol	"['Lepiota magnispora', 'Lepiota clypeolaria']"
wood blewit	"['Lepista nuda', 'Lepista sordida']"
questionable stropharia	"['Stropharia ambigua', 'Leratiomyces percevalii', 'Leratiomyces riparius']"
redlead roundhead	['Leratiomyces ceres']
flaky little orange mushroom	['Leratiomyces squamosus var. thraustus']
common puffballs	"['Lycoperdon pyriforme', 'Lycoperdon perlatum']"
morels	"['Morchella angusticeps',   'Morchella sect. Distantes', 'Morchella snyderi',   'Morchella rufobrunnea',  'Morchella importuna',   'Morchella tridentina',   'Morchella esculenta',   'Morchella americana',   'Morchella sect. Morchella',   'Morchella diminutiva']"
bleeding mycena/marasmius	"['Mycena haematopus', 'Marasmius plicatulus']"
brown mycena	"['Mycena californiensis', 'Mycena sanguinolenta']"
grey/brown bonnets	"['Mycena galericulata', 'Mycena inclinata', 'Mycena leptocephala',  'Mycena capillaripes', 'Mycena amicta', 'Mycena subcaerulea']"
orange mycena	['Mycena leaiana']
skinny long yellow mycena	"['Mycena oregonensis', 'Mycena acicula', 'Atheniella aurantiidisca']"
frosty bonnet	"['Mycena tenerrima', 'Mycena sect. Sacchariferae']"
dyer's polyphore	"['Phaeolus schweinitzii', 'Onnia tomentosa']"
orange crusts	"['Phlebia tremellosa', 'Phlebia radiata']"
shaggy scalycaps	"['Leucopholiota decorosa', 'Pholiota squarrosa', 'Pholiota squarrosoides', Pholiota aurivella', 'Pholiota limonella']"
smoother pholiotas	"['Pholiota granulosa', 'Flammulaster erinaceellus']"
brown pholiota yellow scales	['Hemistropharia albocrenulata']
oyster mushrooms	"['Pleurotus ostreatus', 'Pleurotus ostreatus group',   'Pleurotus pulmonarius',   'Pleurotus populinus',   'Pleurocybella porrigens']"
fat oyster lookalikes	"['Pleurotus dryinus', 'Lentinus levis']"
deer mushroom	"['Pluteus petasatus', 'Pluteus sect. Pluteus', 'Pluteus cervinus', 'Pluteus cervinus group']"
goldleaf sheath mushroom	['Pluteus romellii']
yellow pluteus	['Pluteus chrysophlebius']
knacker's crumpet LWM/LBM	"['Pluteus salicinus', 'Pluteus americanus']"
bay polypore	['Polyporus durus']
dryad's saddle	"['Polyporus tuberaster', 'Cerioporus squamosus', 'Polyporus arcularius']"
brown dryad's saddle	[ 'Lentinus brumalis']
yellow blackfoot	"['Cerioporus leptocephalus','Cerioporus varius']"
lawn mower's mushroom LBM	"['Panaeolus foenisecii', 'Panaeolus subbalteatus', 'Psathyrella piluliformis']"
little grey lawnmower	"['Panaeolus antillarum', 'Panaeolus semiovatus', 'Panaeolus papilionaceus', 'Panaeolus papilionaceus group']"
common crumblecap	"['Psathyrella candolleana', 'Psathyrella candolleana group']"
emetic russula	"['Russula cremoricolor',   'Russula emetica',   'Russula sect. Emeticinae',   'Russula silvicola']"
green russula	"['Russula virescens', 'Russula parvovirescens', 'Russula crustosa', 'Russula aeruginea']"
purple green russula	['Russula variata']
short-stemmed russula and similar	"['Russula brevipes', Lactarius deceptivus',  'Lactifluus piperatus',   'Lactarius subvellereus var. subdistans', 'Russula brevipes group']"
shrimp russula	"['Russula xerampelina', 'Russula xerampelina group']"
dull yellow fetid russula	"['Russula fragrantissima', 'Russula grata']"
olive russula	['Russula clavipes']
split gill	['Schizophyllum commune']
earthballs	"['Scleroderma citrinum',   'Scleroderma areolatum',   'Scleroderma polyrhizum',   'Scleroderma cepa']"
"turkey tail, false TT, lookalikes"	"['Stereum hirsutum', 'Stereum ostrea', 'Trametes versicolor', 'Stereum ochraceoflavum',   'Stereum complicatum']"
slippery jack and related	"['Suillus ponderosus','Suillus granulatus', 'Suillus luteus', 'Suillus pungens', 'Suillus brevipes']"
matte painted suillus	"[ 'Suillus caerulescens', 'Suillus lakei']"
painted slippercap	['Suillus spraguei']
chickenfat mushroom	['Suillus americanus']
thin walled polypores	"['Daedaleopsis confragosa', 'Trametes gibbosa', 'Trametes elegans', Daedalea quercina', 'Trametes betulina']"
white polypore	"['Trametes hirsuta', 'Trametes pubescens']"
witch's butter	"['Tremella mesenterica', 'Tremella aurantia', 'Dacrymyces chrysospermus']"
snow fungus	"['Tremella fuciformis', 'Ductifera pululahuana']"
purple polypore	"['Trichaptum abietinum', 'Trichaptum biforme']"
deceiving/yellow knight	"['Tricholoma sejunctum', 'Tricholoma subsejunctum', 'Tricholoma equestre']"
american matsutake	"['Tricholoma magnivelare', 'Tricholoma murrillianum']"
grey tricholoma	"['Tricholoma myomyces', 'Tricholoma terreum']"
"soapy/sooty knight, medium LBM"	"['Tricholoma saponaceum', ''Tricholoma portentosum', 'Tricholoma virgatum']"
dark brown tylopilus	"['Tylopilus porphyrosporus', 'Tylopilus sordidus']"
a bunch of generic xerocomellus	"['Xerocomus truncatus', 'Xerocomellus chrysenteron',   'Xerocomellus dryophilus',   'Xerocomellus zelleri', 'Xerocomus subtomentosus']"
Bolbitius titubans	['Bolbitius titubans']
lilac oysterling & co	"['Panus conchatus', 'Panus neostrigosus']"
wolf's slime milk	['Lycogala epidendrum']
white slime mold	['Ceratiomyxa fruticulosa']
scurfy twiglet LBM	"['Tubaria furfuracea', 'Tubaria furfuracea group']"
birch bolete	"['Leccinum scabrum', 'Leccinum snellii']"
golden trumpets	"['Xeromphalina campanella', 'Xeromphalina kauffmanii']"
godzilla winecap stropharia	['Stropharia rugosoannulata']
elfin saddle	['Gyromitra infula']
scarlet caps	"['Sarcoscypha coccinea',   'Sarcoscypha austriaca',   'Sarcoscypha occidentalis']"
brain puffball	['Calvatia craniiformis']
giant puffball	['Calvatia gigantea']
purple spored puffball	['Calvatia cyathiformis']
wrinkly boletes	"['Leccinum rugosiceps', 'Leccinum pseudoscabrum', 'Leccinellum albellum']"
lobster mushroom	['Hypomyces lactifluorum']
jew's ear	"['Auricularia auricula-judae',   'Auricularia americana',   'Auricularia angiospermarum',   'Auricularia fuscosuccinea']"
fake purple russula	"['Hygrophorus russula',   'Hygrophorus erubescens',   'Hygrophorus purpurascens']"
jack o lantern (fake chanty)	['Omphalotus olivascens']
yellow unicorn entoloma	['Entoloma murrayi']
parachute mushrooms	"['Marasmius androsaceus', 'Marasmius capillaris', 'Marasmius rotula']"
jelly belly	['Leotia lubrica']
calf brain wrinkly	"['Gyromitra brunnea', 'Gyromitra korfii', 'Gyromitra esculenta']"
	"['Pycnoporus sanguineus', 'Pycnoporus cinnabarinus']"
	"['Gliophorus perplexus', 'Gliophorus psittacinus']"
	"['Gomphidius subroseus', 'Gomphidius glutinosus', 'Gomphidius oregonensis']"
	"['Bondarzewia berkeleyi', 'Meripilus sumstinei']"
	"['Gomphus floccosus', 'Gomphus kauffmanii', 'Gomphus bonarii']"
	"['Nidula candida', 'Nidula niveotomentosa', 'Crucibulum laeve']"
	"['Megacollybia platyphylla', 'Megacollybia rodmanii']"
	"['Oudemansiella radicata',   'Oudemansiella furfuracea',   'Oudemansiella megalospora']"
	"['Peltigera neopolydactyla',   'Peltigera membranacea',    'Peltigera praetextata',   'Peltigera canina',   'Peltigera rufescens']"
	"['Neofavolus alveolaris', 'Favolus brasiliensis']"
	"['Cyathus stercoreus', 'Cyathus striatus', 'Cyathus sect. Eucyathus']"
	"['Omphalotus illudens', 'Omphalotus olearius']"
	['Volvopluteus gloiocephalus']
	"['Marasmiellus candidus', 'Tetrapyrgos nigripes']"
	['Ischnoderma resinosum']
	"['Phallus hadriani', 'Phallus impudicus', 'Phallus ravenelii']"
	['Panellus stipticus']
	['Tapinella atrotomentosa']
	"['Phylloporus rhodoxanthus',   'Phylloporus leucomycelinus',   'Phylloporus arenicola']"
	['Phyllotopsis nidulans']
	"['Coltricia cinnamomea', 'Coltricia perennis']"
	"['Cystoderma fallax', 'Cystoderma amianthinum']"
	['Cryptoporus volvatus']
	"['Irpex lacteus', 'Spongipellis pachyodon']"
	['Gyroporus castaneus']
	"['Agrocybe praecox', 'Agrocybe praecox group']"
	"['Calocera cornea', 'Calocera viscosa']"
	['Fuscoporia gilva']
	['Abortiporus biennis']
	"['Cuphophyllus russocoriaceus', 'Cuphophyllus virgineus']"
	['Laricifomes officinalis']
	"['Fomes fomentarius', 'Fomes excavatus']"
	"['Hebeloma crustuliniforme', 'Hebeloma crustuliniforme group' ]"
	"['Mutinus elegans', 'Phallus rubicundus']"
	"['Geastrum saccatum', 'Geastrum triplex']"
	['Auriscalpium vulgare']
	['Rickenella fibula']
	['Grifola frondosa']
	['Fistulina hepatica']
	['Neolentinus lepideus']
	['Tubifera ferruginosa']
	['Pisolithus arhizus']
	['Cuphophyllus pratensis']
	"['Chroogomphus vinicolor', 'Chroogomphus ochraceus']"
	['Lentinellus ursinus']
	['Hypomyces chrysospermus']
	"['Leccinum insigne', 'Leccinum aurantiacum']"
	"['Peziza repanda', 'Peziza vesiculosa']"
	['Lichenomphalia umbellifera']
	"['Xanthoria parietina', 'Xanthomendoza hasseana']"
	['Chalciporus piperatus']
	['Xylaria polymorpha']
	['Kretzschmaria deusta']
	['Copelandia cyanescens']
	"['Plicaturopsis crispa', 'Byssomerulius corium']"
	['Gloeoporus dichrous']
	"['Monotropa uniflora', 'Hypopitys monotropa']"
	['Lyophyllum decastes']
	['Tyromyces chioneus']
	['Hygrophorus eburneus']
	['Simocybe centunculus']
	"['Stemonitis axifera', 'Stemonitis splendens']"
	['Tapinella panuoides']
	['Hohenbuehelia petaloides']
	['Astraeus hygrometricus']
	['Battarrea phalloides']
	['Gerronema strombodes']
	['Callistosporium luteo-olivaceum']
	['Harrya chromapes']
	['Ampulloclitocybe clavipes']
	"['Cyptotrama chrysopepla', 'Cyptotrama asprata']"
	['Galiella rufa']
	['Oligoporus caesius']
	['Paralepista flaccida']
	"['Climacocystis borealis', 'Postia ptychogaster']"
	"['Tricholomopsis decora',   'Tricholomopsis sulphureoides']"
	"['Xanthoconium purpureum',   'Xanthoconium affine var. affine',   'Xanthoconium affine var. maculosus',   'Xanthoconium affine']"
	['Conocybe tenera']
	[ 'Conocybe apala']
	['Pseudohydnum gelatinosum']
	['Panellus serotinus']
	"['Crepidotus mollis', 'Crepidotus crocophyllus']"
	['Leucopaxillus albissimus']
	['Cookeina speciosa group']
	['Rhizocarpon geographicum group']
	['Xylaria hypoxylon']
	['Clavaria fragilis']
	"['Agrocybe pediades', 'Agrocybe pediades group',  'Stropharia coronilla', 'Stropharia hardii']"
	['Entoloma abortivum']
	['Aleuria aurantia']
	"['Clavulinopsis laeticolor',   'Clavulinopsis fusiformis',   'Clavulinopsis aurantiocinnabarina']"
	['Lycoperdon echinatum']
	"['Lycoperdon marginatum',  'Vascellum curtisii']"
	['Lactifluus corrugis']
	"['Lactifluus volemus', 'Lactifluus hygrophoroides']"
	['Lacrymaria lacrymabunda']
	['Leucopaxillus gentianeus']
